"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed72b641-83ea-4ee6-81fd-aa195759c512-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","40","CohhCarnage","32469150","2925","21611","10799","1215408","2609","683548","true","false","English","CohhCarnage"
"https://static-cdn.jtvnw.net/jtv_user_pictures/631714f9-ff41-4643-99af-b4e00303fefb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","41","TheRealKnossi","31871625","1695","48334","17825","679774","20893","420760","true","true","German","TheRealKnossi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/02c5e2a6-fb52-492c-b76e-bab28809ef82-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","42","Solary","31687395","8940","14298","3610","411453","1810","853904","true","false","French","Solary"
"https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","43","stylishnoob4","31318590","2865","14845","10854","271092","3345","513506","true","false","Japanese","stylishnoob4"
"https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","44","Gorgc","31304580","2610","38336","11202","329667","4121","474496","true","true","English","Gorgc"
"https://static-cdn.jtvnw.net/jtv_user_pictures/694247cc-a141-4f2b-93cc-02687d045399-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","45","sneakylol","31243920","5265","12451","5981","1599365","2765","435394","true","false","English","sneakylol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/20302188-1d7a-40a2-b01d-3e23236d9d91-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","46","木棉花官方頻道 (muse_tw)","30594450","10050","16702","3045","92324","6016","632778","true","false","Chinese","木棉花官方頻道 (muse_tw)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d856e0b2-881a-4b44-9462-a5251e0ebd73-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","47","Pestily","29062500","3990","11566","7040","319260","15826","572440","true","false","English","Pestily"
"https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","48","fps_shaka","27877245","6030","8360","4616","208615","2105","426203","true","false","Japanese","fps_shaka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/41d2df08-f51a-4209-bda1-1c98b1da1d66-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","49","RiotGamesJP","27275550","1230","34192","22213","120741","3310","510391","true","false","Japanese","RiotGamesJP"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e36c7503-b75e-438b-b6f3-0a5c1edff8b5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","50","lestream","26596695","6690","16238","3825","863086","2199","543374","true","false","French","lestream"
