,Time,Sender,Sender_type,Content
229,0:04:02,Mifuknight,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
230,0:04:03,BilbOk_,subscriber,sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire sardFire
231,0:04:04,Derasiel_Wowee,subscriber,^^
232,0:04:05,RooiLink,subscriber,Mdr vive les JL sardLurk
233,0:04:06,LeoandcoGaming,subscriber,sardAYAYA sardAYAYA sardAYAYA
234,0:04:07,Azagal258,subscriber,sardYop
235,0:04:08,zebek_shanarim,subscriber,sardAYAYA
236,0:04:09,korpiklaani8,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
237,0:04:09,Leorlio,subscriber,first try le boss infosur
238,0:04:10,Xiphar22,subscriber,Xiphar22 subscribed with Twitch Prime. 
239,0:04:10,Cocowsome,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
240,0:04:10,Derasiel_Wowee,subscriber,@Sardoche Wowee
241,0:04:11,Titatitutu,subscriber,sardAYAYA sardAYAYA sardAYAYA
242,0:04:11,Reidre_A,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
243,0:04:11,DeusKiwi,subscriber,sardAYAYA_HF sardAYAYA sardAYAYA_HF sardAYAYA
244,0:04:12,Nateooos,subscriber,Nateooos subscribed at Tier 1. They've subscribed for 4 months; currently on a 1 month streak! :sardAYAYA:
245,0:04:13,aeroz60,subscriber,OUIIIIIIIIII
246,0:04:14,Jvek_,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
247,0:04:15,Shawkdon91,subscriber,sardPff sardPff sardPff sardPff sardPff
248,0:04:15,spaastis,subscriber,Pepega 📣 jl gang
249,0:04:16,Titaii2,subscriber,Titaii2 subscribed with Twitch Prime. They've subscribed for 28 months! 
250,0:04:18,howlybaecon,subscriber,Bonsoir
251,0:04:18,jeanmichleprophete,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
252,0:04:19,KyrieYN,subscriber,sardAYAYA sardAYAYA sardAYAYA
253,0:04:19,aeroz60,subscriber,SALUUUUUUT LE TCHAT
254,0:04:23,JLFakemonster,subscriber,jltomyJL
255,0:04:25,nashor7517,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
256,0:04:26,howlybaecon,subscriber,sardWeeb
257,0:04:26,KyrieYN,subscriber,BONSOIR
258,0:04:28,omaminar,subscriber,20h c est 20h quel genie
259,0:04:28,gatsuu__,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
260,0:04:30,Cyberm_,subscriber,On s'en fout des JL; MORT A LA VALKYRIE
261,0:04:30,Titatitutu,subscriber,Merci pour HahaShrugLeft @titaii2
262,0:04:32,Titaii2,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardYop sardOche
263,0:04:32,Yarokin,subscriber,jltomyJL x sardOche
264,0:04:35,KnLnK,subscriber,sardYop sardYop sardAYAYA sardAYAYA
265,0:04:37,Neomalphas,subscriber,sardYop sardYop sardYop sardLove
