,Time,Sender,Sender_type,Content
198,0:05:10,PinkPanda6666,none,faut juste que tu sois un peu plus rapide je pense
199,0:05:13,maksimmm,subscriber,sardAsmr sardAsmr
200,0:05:13,Soweq4,premium,LuvBrownL
201,0:05:16,Sayzoue,none,oui
202,0:05:16,geremaillard,none,je me RÉGALE
203,0:05:17,Myzen_,none,oh cette voix j'ai la semi mole apres 10h d'attente
204,0:05:17,rikidaymaru,none,yooo
205,0:05:18,Vuulcain,none,Need de l'asmr @Sardoche :'(
206,0:05:22,bwhet,none,Oh l’asmr
207,0:05:23,Myzen_,none,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
208,0:05:23,Fonggas_Wowee,subscriber,saches que je t'en veux un peu pour hier matin
209,0:05:23,arkilax,none,Incroyable; meilleur réveil possible sardLove
210,0:05:28,bwhet,none,On veut de l’asmr
211,0:05:29,Kambrass,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
212,0:05:30,Ladon1,moderator,@saucisse_volante c'était gratuit ça ptdr
213,0:05:31,pgx47330,none,y a un streamer twitch qui disait que sardoche c etait un gamin suceptible
214,0:05:32,Nephelioon,subscriber,Myzen_ Full hard on ici
215,0:05:34,Macksawn,none,@ibouffeurdenemsi totalement
216,0:05:35,yankh_v2,subscriber,Et bah enfin
217,0:05:35,Jeren14,subscriber,sardAYAYA sardAYAYA
218,0:05:36,sdeku57,none,il est quand même cool notre sardoche quand il est comme ça :)
219,0:05:36,notime777,subscriber,matinal ? issou c quoi dormir
220,0:05:37,SomaliPirat1,none,sardAYAYA
221,0:05:38,rikidaymaru,none,vraiment un régalr cette ost cimer hein
222,0:05:39,idsl29,premium,@sardoche C418 à pas fais que les musiques de minecraft
223,0:05:41,pixelkiller2,none,*pshhhhhhhh u have been slayned by a creeper explosion
224,0:05:43,Fonggas_Wowee,subscriber,pour la peine fais nous une belle run
225,0:05:44,Clemsaint,none,Sardochou
226,0:05:45,elchapodelsol,none,Putain mais à 5h du mat
227,0:05:47,Hyceman_SC2,subscriber,sardYop sardYop quel plaisir
228,0:05:48,medelax91,none,Weeeee!!
229,0:05:51,grochiche,subscriber,cool
230,0:05:51,imdemigod,subscriber,je pensais pas être là à cette heure-ci mais bonsoir du coup
231,0:05:55,grochiche,subscriber,live matin on aime
232,0:05:56,Techn0Junkie,none,totalement yes life Kappa
233,0:05:56,z0spy,premium,LUL 23h au quebec
234,0:05:56,Ratoushi,none,SARDOCHEEE!!! bon matin l'ami :D
235,0:05:59,obstinacy_swipi,none,hahaaaa quel crack
236,0:06:01,rikidaymaru,none,Sardoche yes life
237,0:06:02,Fundalis,subscriber,quel bgavec cette coupe de cheveux
238,0:06:04,deyvartv,none,Attends mais c'est animal crossing remake chelou?
239,0:06:04,mrsoaphd,none,j'ai cours a 9h
240,0:06:05,Myzen_,none,Nephelioon j'ai vue son visage je suis full hard aussi mtn bro sardAYAYA
241,0:06:08,notime777,subscriber,jte juge direct
242,0:06:10,iBouffeurDeNemsi,none,bg
243,0:06:10,JLNawly,none,wsh sardoche
244,0:06:10,Erau97441,premium,La giga YesLife
245,0:06:10,Omgthatskilllee,none,Tu veux pas nous faire un petit quart d’heure Asmr Sard?
246,0:06:12,Unlocky4,subscriber,Coucou Sardo
247,0:06:13,Clemsaint,none,QUEL BG
248,0:06:16,maksimmm,subscriber,Ho moi aussi mais je me suis endormi à 21h hier
249,0:06:17,Fundalis,subscriber,14h en australie @Sardoche
250,0:06:17,bwhet,none,@sardoche Un peu d’asmr matinale serai bien TehePelo
251,0:06:18,anatoller,subscriber,Salut !
252,0:06:18,ironeight,none,Salut bg
253,0:06:20,PulseInsanity,none,cxxHoy cxxHoy
254,0:06:21,Clemsaint,none,10/10
255,0:06:21,shark2325,none,cc
256,0:06:21,egatimre,none,13h au Japon donc kel plaisir
257,0:06:22,rikidaymaru,none,c YoungDoche
258,0:06:22,elchapodelsol,none,5h du mat putainnnn
259,0:06:23,geremaillard,none,slt slt
260,0:06:23,Yurryh,subscriber,@inputlaggod bien joué
261,0:06:25,Vuulcain,none,XD
262,0:06:25,sous_la_cagoule_cest_jul,premium,Salut
263,0:06:26,lemodeste_,none,Salut
264,0:06:26,Chaawie,subscriber,La meche bordel sardAYAYA
265,0:06:26,Nephelioon,subscriber,Myzen_ oyeah ayaya sardAYAYA
266,0:06:26,nikobelic988,none,quel homme
267,0:06:29,Vladilyes,premium,Bonjour à vous
268,0:06:29,ilatouh,none,Je vais m’endormir avec ta voix c’est cool
269,0:06:30,nermio1606,none,wsh
270,0:06:30,bigtox91,none,coucou
271,0:06:30,malkss,none,22h à Chicago
272,0:06:31,Fonggas_Wowee,subscriber,écran de jour Jebaited
273,0:06:31,dgarinho,none,Et salut sardoche
274,0:06:32,grochiche,subscriber,ruiné
275,0:06:32,vinchockey16,premium,23h au qc
276,0:06:32,notime777,subscriber,rsa
277,0:06:33,Vuulcain,none,#Findugame
278,0:06:36,SomaliPirat1,none,LUL
279,0:06:38,BibiVanDerZER,subscriber,23h Québec
280,0:06:39,tw3ns_,none,23h à Montréal
281,0:06:41,PeeeulS,premium,LUL
282,0:06:43,samiheritier,none,De quoi allons nous parler @sardoche
283,0:06:45,OrigiGames,subscriber,Yooooo
284,0:06:45,maksimmm,subscriber,13h au Japon
285,0:06:46,Yurryh,subscriber,fin du buzz
286,0:06:46,Le_maitre_serein,subscriber,Adieu le rêve de la maison au bord du lac!
287,0:06:46,Tyhhox,none,la famosa
288,0:06:48,rikidaymaru,none,c terminer c terminer
289,0:06:49,Playworkx,none,400 viewers
290,0:06:51,Fonggas_Wowee,subscriber,la Lyon e-sport abandonné Jebaited
291,0:06:51,idsl29,premium,Dark soul aide pas vraiment aussi
292,0:06:51,rkjz,none,Une matinale quand ont a pas dormi c’est quand même une matinale ?
293,0:06:53,Dokel,subscriber,nous on est bien hein 23h
294,0:06:56,Vuulcain,none,C'est le sport ça
295,0:06:58,z0spy,premium,23h en abitibi
296,0:06:59,ZaxinTV_,none,Demain; Sard aux allocs
297,0:06:59,oscom_,premium,putain moi qui voulait aller dormir
298,0:07:02,adiloudu11,subscriber,adiloudu11 subscribed with Twitch Prime. 
299,0:07:06,grochiche,subscriber,ça ; plus les caleçons offert avec le million de pts chat; sard a la rue
300,0:07:12,z0spy,premium,Merci pour LuvPeekL @adiloudu11
301,0:07:12,deyvartv,none,Faut faire des bébés
302,0:07:13,90Kilos,none,Keur Keur sur toi Sardoche; ça va aller <3
303,0:07:13,Nephelioon,subscriber,enfoiré t'es trop bien calé
304,0:07:17,shiito53,none,sardoche; 500 viewers.. c'est juste du bonheur
305,0:07:18,unicornmistercupcake,subscriber,Mdr je peux pas me sub; super
306,0:07:19,frair_fox,none,13h à tokyo je dois aller au taf dans 10min rip
307,0:07:20,Letwale,none,T'inquiète c'est la même pour moi j'me reveille à 3h j'me couche à 15h; rien ne va
308,0:07:20,geremaillard,none,bah tu auras juste des viewers quebecois quoi
309,0:07:29,Myzen_,none,je suis tomber dans le neant a cause de tes baits sardo !!! sardAYAYA sardAYAYA
310,0:07:34,Scorphyr69,none,hey sardoche a quand tu trains de AoE 2 ?
311,0:07:35,pixelkiller2,none,Je suis depuis 2 semaines en mode Uberman c'est trop bieeeen
312,0:07:37,Kambrass,subscriber,Team notif
313,0:07:39,jaimelesbanane123,none,FAIT MOI L'AMOUR
314,0:07:40,notime777,subscriber,ez
315,0:07:40,groudalkia,none,y avait quoi cet aprem?
316,0:07:43,Vakyos,subscriber,non j'étais en train de dépérir sur twitch quand j'ai vu la notif
317,0:07:49,timolegentil,premium,live piano?
318,0:07:54,JLNawly,none,tu devrai faire nui blache pour bien te regler @Sardoche
319,0:07:54,thimalol,premium,Sweden 😭
320,0:07:54,tabledechevet,subscriber,Yo
321,0:07:55,DaeboAkaGod,none,encore du ds3?
322,0:07:58,shiito53,none,le pouvoir de la nostalgie ça
323,0:07:59,shark2325,none,c quoi ton clavier
324,0:07:59,bastianlebgvenezlesfilles,subscriber,Sardoooo merci de me réveiller en douceuuur !
325,0:07:59,elchapodelsol,none,trop matinal pour moi 😭
326,0:08:04,hippokv4,none,C’est la musique qd il pleut nan ?
327,0:08:05,clemtiss,none,@sardoche allume livesplit j'ai besoin d'ma dose
328,0:08:07,anatoller,subscriber,"Tu dis ça mais tu mets ""12 ans de pîano"" en légende"
329,0:08:09,napula,none,est ce que tu aimes monteverdi @Sardoche ?
330,0:08:10,sdeku57,none,stream piano ?
331,0:08:11,politicallyincorrect314,subscriber,j'adore
332,0:08:11,malkss,none,Minecraft
333,0:08:12,nermio1606,none,quand le ban de lol va tomber tu vas rejouer ?
334,0:08:14,idsl29,premium,C418 Thunderbird est cool aussi @sardoche
335,0:08:14,Clemsaint,none,LA CRINIÈRE SOYEUSE
336,0:08:21,thunder946,none,HeyGuys HeyGuys
337,0:08:22,sakri_,subscriber,rien e fin quelqu'un qui fait aussi une insomnie
338,0:08:22,unicornmistercupcake,subscriber,unicornmistercupcake subscribed with Twitch Prime. They've subscribed for 3 months! Le prime pour le SOAT. Balance nous un album de reprises de C418 en fait; on veut que ça ❤️.
339,0:08:24,Omgthatskilllee,none,Bonjour sard; fais nous un peu d’ASMR; je t’en prie!
340,0:08:24,ery2,none,bonjour
