,Time,Sender,Sender_type,Content
182,0:05:48,yoan1111,none,Saaaard
183,0:05:49,xRaven06,premium,yo!
184,0:05:49,GrandMechantEpaulard,subscriber,ça vaaa
185,0:05:50,tokkyo_sc,premium,IL EST LA! LE PATRON <3
186,0:05:50,SethMorley,premium,cringe day
187,0:05:51,DemonHunterRaven,none,Incroyable si il fait le chiffres & lettres avec Etoilas
188,0:05:51,incateur_,subscriber,Yo !
189,0:05:51,SonOf7Less,subscriber,alors
190,0:05:52,kitsukaze,none,c'est la st valentin...
191,0:05:52,the_strocker,subscriber,Salut
192,0:05:52,Ariiise,none,yoooo
193,0:05:52,Krausit,none,Bonjour mon Valentin ^^
194,0:05:52,pecaplop,subscriber,Hello Hello
195,0:05:52,nnaviss,subscriber,sardYop sardYop sardYop
196,0:05:52,ketaat,none,David la fzrg
197,0:05:53,Mannnequins,subscriber,rooFeels
198,0:05:54,Nezuko_LoL,subscriber,TU MAS FAIS SURSAUTER VA TE FAIRE FOUTRE SARDOCHE
199,0:05:54,Foaust,bits,@volcomdaman RIB ?
200,0:05:54,Norraxas,subscriber,@VolcomDaman Avec 2% d'intérêts; pourquoi pas
201,0:05:55,Typhlosu,none,momoLewd
202,0:05:56,Ayaya_Nakamura,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
203,0:05:57,dannyasse,subscriber,hello 😍
204,0:05:58,cruore,premium,je m'apelle Valentin
205,0:05:59,yoan1111,none,yooo
206,0:06:00,Zenaie,subscriber,Boonjouuur
207,0:06:00,Fonggas_Wowee,subscriber,sardFire sardFire sardFire sardFire sardFire sardFire sardFire
208,0:06:02,Naoan77,none,Soul of cinder le meilleur Valentin :3
209,0:06:02,fayvinnn,none,Heyyyy
210,0:06:02,poutine667dg,none,sardoche pitié débloque moi de twitter sinon je me jette du 8ème
211,0:06:02,kribselele,subscriber,sardLove sardLove sardLove
212,0:06:02,SK_Sumdeus,premium,<3
213,0:06:03,VicenteSimplement,none,Mais tu jouais déja ce matin non ?
214,0:06:03,tokkyo_sc,premium,El patrooooon
215,0:06:03,LoSiiZe,premium,BEAT SABER
216,0:06:04,akdeke,premium,ce réveiller a 15 h du matin c'est la yes life que j'ai choisi
217,0:06:04,Thiefdawn,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA sardAYAYA
218,0:06:04,lokwooo,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
219,0:06:04,Arteni,subscriber,Arteni subscribed with Twitch Prime. They've subscribed for 3 months! A quand les streams steinway ?
220,0:06:05,Durumus,subscriber,Durumus subscribed at Tier 1. They've subscribed for 6 months! hey !
221,0:06:05,TAGASO_,subscriber,TAGASO_ subscribed with Twitch Prime. They've subscribed for 11 months; currently on a 7 month streak! Je t'aime
222,0:06:06,momiz__,subscriber,sardYop sardYop sardYop sardYop
223,0:06:07,Dovoghedhi_,subscriber,Bonjour !!
