,Time,Sender,Sender_type,Content
216,0:03:37,Triestos,subscriber,j'ai pas capté ton pc avait explosé ou c'est comment ?
217,0:03:38,Olaskurte,subscriber,C’est l’elastique qui rend ton bras plus musclé no fake
218,0:03:39,SmaartFaune,premium,t beau sardoche
219,0:03:39,fralzy,premium,tu bois quoi ?
220,0:03:40,RomanitoX,subscriber,Bonsoir; quel bonheur <3 !
221,0:03:42,neyykk,none,tu as l'air juste hyper muscler grâce au formatage
222,0:03:43,evan_ghz,premium,C’est incroyablement mieux
223,0:03:46,fyraell,none,Tellement heureux de te voir run
224,0:03:46,Daslohh,premium,Yo Sard' !
225,0:03:48,Anpey,subscriber,Et saaalut les amis
226,0:03:48,jmenf0us,premium,Trop de RNG sur l'envie de pisser c'est ultra relou.... :/
227,0:03:49,BroSaden,premium,Salut BG !
228,0:03:56,Xalexer,none,HeyGuys
229,0:03:57,Alturnox,subscriber,3 ans de fidélité incroyable
230,0:03:57,haris69200,subscriber,haris69200 converted from a Twitch Prime sub to a Tier 1 sub! 
231,0:03:58,huextrat,subscriber,huextrat subscribed with Twitch Prime. They've subscribed for 4 months! Un plaisir ce live nocturne !!!
232,0:04:00,Napoopan,subscriber,OHOHOH
233,0:04:01,malreen,subscriber,sardAYAYA
234,0:04:02,Dafroithomas,none,ptdr non
235,0:04:03,Mannnequins,subscriber,ce bras rooGasm
236,0:04:03,leboeufbourguignons,subscriber,poualala
237,0:04:04,Anpey,subscriber,Biceps
238,0:04:04,JugemJugemJu,subscriber,t'as l'air en forme; let's go pb
239,0:04:06,lapoutrenordik,none,T'es à combien de tour de bras @sardoche ?
240,0:04:06,botmika,none,Sard ton peint est trop beau
241,0:04:08,Sarukog,moderator,T'as spam Osu pendant ton sommeil pour avoir ces bras pareil nan ?
242,0:04:09,Zytophile,none,OOF
243,0:04:13,nonovds,subscriber,trop stock
244,0:04:13,grodzillu,subscriber,grodzillu subscribed with Twitch Prime. They've subscribed for 2 months! 
245,0:04:13,muskook,none,bois surtout pas grand fou
246,0:04:13,TheOgus,subscriber,LUL
247,0:04:15,Nooxford,subscriber,Nooxford subscribed at Tier 2. They've subscribed for 12 months! 1 an; incroyable; continues t'es le best
248,0:04:16,Cluglos,none,bien bien remplis moi ce t-shirt
249,0:04:16,r4gn4r0k_,subscriber,:O :O :O :O
250,0:04:17,mrmaxitekeur29,none,un peu trop sec à mon goùt mais parfait pour de la course
251,0:04:17,Greepsu,none,La RNG buggé de la vessie
252,0:04:19,the_holy_knight,subscriber,sardYop et bonne nuit surtout x
253,0:04:19,Slicy__,premium,Si y a une musique on ne l’entend pas si jamais @sardoche
254,0:04:20,permaban_loI,none,Sard a juste passer de la taille M à S
255,0:04:21,kaaora,none,Yop bro; c'est all bosses et pas all boss; tu mets boss dans la mauvaise orthographe partout sur tes vidéos et streams
256,0:04:22,Olaskurte,subscriber,L’autre mec sardQI
257,0:04:23,artangard,none,la masturbation quotidienne ça muscle mdr
258,0:04:24,malreen,subscriber,sardAYAYA sardAYAYA sardAYAYA
259,0:04:24,momss38,subscriber,le jeu a pas enore cmmencé qu'il est déja full bug et full bad rng
260,0:04:26,bobobisbis,none,Merci pour LuvBlondeR @nooxford
261,0:04:29,DreamToXine,subscriber,Kappa
262,0:04:30,Daslohh,premium,Super on va encore pas dormir
263,0:04:32,zhayll,none,il a eu un plan cul
264,0:04:32,wilouxsan,subscriber,日本語上手www
265,0:04:34,MrCubik,premium,ah ! 19h ! tout pile
266,0:04:34,Hem__,subscriber,mekeskidi
267,0:04:34,Sarukog,moderator,J'arrive pas à courir moi LUL
268,0:04:35,leboeufbourguignons,subscriber,??
269,0:04:35,JethroTTV,premium,tu commence si tard je suis triste
270,0:04:37,fanfanfaron,premium,full manque a cause du pied
271,0:04:38,padepanic,none,Ahaha
272,0:04:39,bagougou,none,Mdr on connait le sport de nuit
273,0:04:40,Yurryh,subscriber,mais
274,0:04:41,hermes____,none,La sèche du seigneur l’ambassadeur gymshark
275,0:04:41,Qworst,subscriber,Yop
276,0:04:42,artangard,none,mdr
277,0:04:42,Olaskurte,subscriber,???
278,0:04:44,shiinrraa,none,mdr
279,0:04:44,Blackdeast,premium,19h sard Kappa
280,0:04:45,permaban_loI,none,"""Jai fais du sport..."" En fait dans mon sommeil xD"
281,0:04:46,marganaivae,none,investie dans des lumiere uv le bronzage te mettra en valeur
282,0:04:47,virtuozzv9,subscriber,Mec t’es tellement stock j’ai peur
283,0:04:49,Sarukog,moderator,Sons d'alerte très bas
284,0:04:50,linkenparis,premium,tu gères les rêves lucides ?
285,0:04:51,Sarukog,moderator,j'crois
286,0:04:53,Cluglos,none,J'ai eu un reve conscient en regardant mes mains t'as déja fait ca ?
287,0:04:59,Alturnox,subscriber,Wesh
288,0:04:59,h3ylloo,none,limesSip
289,0:05:01,Legend_Of_Kay,premium,L'herbe était mouillé?
290,0:05:07,DarkenRahly,subscriber,salut tout le monde !!!
291,0:05:07,justx3ss,premium,kixEz kixEz kixEz kixEz kixEz kixEz kixEz kixEz
292,0:05:13,DylaanBn,subscriber,sardAYAYA sardAYAYA sardAYAYA sardAYAYA
293,0:05:13,Rimnao,none,plus musclé que aldé
294,0:05:14,Hem__,subscriber,sardoche live pile quand je rentre du taf; la yes life Kappa
295,0:05:14,Jdanov_,subscriber,sardYop
296,0:05:18,mrmaxitekeur29,none,moi ce qui m'arrive souvent c'est de rêver que je cours mais je cours limite au ralenti; c'est assez frustrant
297,0:05:19,Sarukog,moderator,Sons d'alerte très bas
298,0:05:19,akatsouki11,subscriber,Hello Sard ! J’espère que ta pisser avant d’attaquer une run ! Et explose ton PB
299,0:05:19,la_main_droite_de_Jamel,none,moi quand je court dans mes rêves je suis au ralenti
300,0:05:22,ck_lancelot,none,enfin tu streams; tu tes crus au 35h ou quoi ? @Sardoche
301,0:05:23,Gangistax,subscriber,Gangistax subscribed with Twitch Prime. They've subscribed for 35 months! Hey; GL HF pour tes runs nocturnes !
